Fiyat;Seri;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Log_Fiyat;Boya;Değişen;Marka_Audi;Marka_BMW;Marka_Chevrolet;Marka_Citroen;Marka_Fiat;Marka_Ford;Marka_Honda;Marka_Hyundai;Marka_Mercedes - Benz;Marka_Opel;Marka_Peugeot;Marka_Renault;Marka_Skoda;Marka_Toyota;Marka_Volkswagen
1110000.0;1110000.0;2015.0;228500;1;0;2;1300.5;163.0;2;13.919871474189012;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
736900.0;829838.5428571429;2017.0;169000;1;1;2;1422.0;75.0;4;13.510208833790402;3;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1075000.0;829838.5428571429;2024.0;20000;1;1;2;1200.0;88.0;4;13.887832149776026;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
742000.0;1383730.0;2014.0;250000;1;1;2;1500.5;113.0;8;13.517105869857504;6;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1490000.0;1280278.5714285714;2017.0;128000;1;0;2;1300.5;113.0;4;14.214287349062356;2;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1830000.0;1383730.0;2021.0;135000;1;0;2;1498.0;150.0;8;14.419827071265544;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
630000.0;861580.0;2009.0;270000;2;0;2;1390.0;122.0;8;13.353476685668044;4;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1750000.0;1383730.0;2017.0;175000;1;1;2;1598.0;120.0;8;14.375126917328105;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1820000.0;1383730.0;2021.0;49000;1;0;2;1498.0;150.0;8;14.414347608503377;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
465000.0;829838.5428571429;2005.0;217000;0;1;2;1390.0;75.0;4;13.049794835104816;6;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
955000.0;1280278.5714285714;2016.0;258000;1;1;2;1500.5;113.0;4;13.769467666582738;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1125000.0;1280278.5714285714;2017.0;208000;1;1;2;1500.5;113.0;4;13.933294482509153;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
870000.0;861580.0;2012.0;235000;2;1;2;1598.0;105.0;8;13.676249640055394;6;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
755000.0;829838.5428571429;2013.0;201000;1;1;2;1500.5;88.0;4;13.534474352733596;3;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1715000.0;1383730.0;2018.0;100000;1;0;2;1300.5;113.0;8;14.354924221672386;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
