Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;İlan Tarihi;Boya-değişen;Araç Durumu;Link
655.000 TL;Skoda;Fabia;1.2 Optimal;2012;110.961 km;Düz;45 lt;Beyaz;1198 cc;70 hp;Hatchback/5;29.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-fabia-1-2-optimal/2012-skoda-fabia-1-2-optimal/35283352
75.750 TL;Skoda;Favorit;1.3 LX;1993;123.456 km;Düz;LPG & Benzin;Lacivert;1289 cc;57 hp;Hatchback/5;29.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-favorit-1-3-lx/celik-motorsdan-1993-skoda-favorit-motor-parasina/30066928
780.000 TL;Skoda;SuperB;1.4 TSI Ambition;2011;232.354 km;Düz;60 lt;Siyah;1390 cc;125 hp;Sedan;29.Kas.25;4 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-superb-1-4-tsi-ambition/sahibinden-skoda-superb-1-4-tsi-ambition-2011-model/33021284
900.000 TL;Skoda;Rapid;1.4 TDI Spaceback Style;2015;195.000 km;Yarı Otomatik;55 lt;Beyaz;1422 cc;90 hp;Hatchback/5;29.Kas.25;2 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-rapid-1-4-tdi-spaceback-style/sahibinden-skoda-rapid-1-4-tdi-spaceback-style-2015-model/35272187
225.000 TL;Skoda;Felicia;1.3 GLXi;2000;220.000 km;Düz;42 lt;Gri (Gümüş);1289 cc;68 hp;Hatchback/5;29.Kas.25;3 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-felicia-1-3-glxi/sahibinden-skoda-felicia-1-3-glxi-2000-model/35272503
500.000 TL;Skoda;Octavia;1.6 FSI Elegance;2005;188.000 km;Düz;55 lt;Füme;1598 cc;115 hp;Hatchback/5;29.Kas.25;1 değişen, 8 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-octavia-1-6-fsi-elegance/sahibinden-skoda-octavia-1-6-fsi-elegance-2005-model/35272530
735.000 TL;Skoda;Octavia;1.6 TDI Style CR;2015;279.900 km;Düz;50 lt;Beyaz;1598 cc;110 hp;Hatchback/5;29.Kas.25;1 değişen, 5 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-octavia-1-6-tdi-style-cr/sahibinden-skoda-octavia-1-6-tdi-style-cr-2015-model/35271348
1.075.000 TL;Skoda;Octavia;1.6 TDI Style CR;2016;199.000 km;Yarı Otomatik;50 lt;Beyaz;1598 cc;110 hp;Hatchback/5;29.Kas.25;2 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-octavia-1-6-tdi-style-cr/sahibinden-skoda-octavia-1-6-tdi-style-cr-2016-model/35270889
650.000 TL;Skoda;Octavia;1.6 TDI Elegance CR;2012;285.000 km;Yarı Otomatik;55 lt;Gri (titanyum);1598 cc;105 hp;Hatchback/5;29.Kas.25;3 değişen, 5 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-octavia-1-6-tdi-elegance-cr/sahibinden-skoda-octavia-1-6-tdi-elegance-cr-2012-model/35270081
1.850.000 TL;Skoda;SuperB;1.6 TDI Premium;2019;112.000 km;Yarı Otomatik;66 lt;Gri (metalik);1598 cc;120 hp;Sedan;29.Kas.25;2 değişen;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-superb-1-6-tdi-premium/sahibinden-skoda-superb-1-6-tdi-premium-2019-model-istanbul/35269849
